gwcode,years,missing_values_in
352,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
355,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
359,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
360,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
365,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
366,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
367,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
368,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
369,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
370,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
371,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
372,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
373,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
375,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
380,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
385,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
390,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
395,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
396,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
397,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
402,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
403,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
404,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
411,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
420,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
432,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
