task_id,learner_id,resampling_id,iters,classif.auc,num.trees,mtry,min.node.size
failed,classif.ranger,repeated_cv,5,0.8154820168807725,2098,8,134
failed,classif.ranger,repeated_cv,5,0.8171017661096809,862,8,331
failed,classif.ranger,repeated_cv,5,0.8203367632782873,2485,4,198
failed,classif.ranger,repeated_cv,5,0.8132083765130902,1552,14,204
failed,classif.ranger,repeated_cv,5,0.8162382173032072,2069,11,389
failed,classif.ranger,repeated_cv,5,0.8147065883507715,2961,12,396
failed,classif.ranger,repeated_cv,5,0.8177944180525257,749,7,348
failed,classif.ranger,repeated_cv,5,0.8154646245807889,2007,13,349
failed,classif.ranger,repeated_cv,5,0.8175006929768777,2611,7,208
failed,classif.ranger,repeated_cv,5,0.8149274848277107,1737,10,175
failed,classif.ranger,repeated_cv,5,0.8125096619624829,2697,15,195
failed,classif.ranger,repeated_cv,5,0.8120797663707482,589,12,18
failed,classif.ranger,repeated_cv,5,0.8214914131602046,1104,3,364
failed,classif.ranger,repeated_cv,5,0.8122560592929374,2690,13,43
failed,classif.ranger,repeated_cv,5,0.8158072068222764,1041,8,25
failed,classif.ranger,repeated_cv,5,0.8148805766638866,2714,12,178
failed,classif.ranger,repeated_cv,5,0.8166337474778863,2440,8,391
failed,classif.ranger,repeated_cv,5,0.8158741408443051,1489,8,377
failed,classif.ranger,repeated_cv,5,0.8144023748889615,2466,11,99
failed,classif.ranger,repeated_cv,5,0.8182631593556243,2111,6,170
