task_id,learner_id,resampling_id,iters,classif.auc,num.trees,mtry,min.node.size
attempt,classif.ranger,repeated_cv,16,0.841283868499601,1000,12,162
attempt,classif.ranger,repeated_cv,16,0.841040864093645,1000,8,230
attempt,classif.ranger,repeated_cv,16,0.8432580918963755,1000,20,148
attempt,classif.ranger,repeated_cv,16,0.8433325512710509,1000,14,224
attempt,classif.ranger,repeated_cv,16,0.8426484443474249,1000,12,234
attempt,classif.ranger,repeated_cv,16,0.8406374287514112,1000,8,112
attempt,classif.ranger,repeated_cv,16,0.8464690244301032,1000,15,7
attempt,classif.ranger,repeated_cv,16,0.842331493014891,1000,15,68
attempt,classif.ranger,repeated_cv,16,0.8413272844148474,1000,9,203
attempt,classif.ranger,repeated_cv,16,0.8422537755225123,1000,12,169
attempt,classif.ranger,repeated_cv,16,0.8405777369574621,1000,10,46
attempt,classif.ranger,repeated_cv,16,0.843542656774094,1000,19,86
attempt,classif.ranger,repeated_cv,16,0.8425540889904309,1000,17,136
attempt,classif.ranger,repeated_cv,16,0.8419622522296235,1000,10,186
attempt,classif.ranger,repeated_cv,16,0.8430847244183863,1000,13,272
attempt,classif.ranger,repeated_cv,16,0.8408033075608361,1000,8,277
attempt,classif.ranger,repeated_cv,16,0.8430031544699351,1000,14,187
attempt,classif.ranger,repeated_cv,16,0.8400503071072724,1000,8,67
attempt,classif.ranger,repeated_cv,16,0.8435314260151732,1000,19,259
attempt,classif.ranger,repeated_cv,16,0.842248838296736,1000,11,211
