task_id,learner_id,resampling_id,iters,classif.auc,num.trees,mtry,min.node.size
attempt,classif.ranger,repeated_cv,16,0.8386090160492986,1000,15,182
attempt,classif.ranger,repeated_cv,16,0.8394963183759339,1000,13,265
attempt,classif.ranger,repeated_cv,16,0.837405455114185,1000,14,51
attempt,classif.ranger,repeated_cv,16,0.8380199914760201,1000,20,74
attempt,classif.ranger,repeated_cv,16,0.8379775213546197,1000,10,109
attempt,classif.ranger,repeated_cv,16,0.8412824744131102,1000,18,11
attempt,classif.ranger,repeated_cv,16,0.8391857137108901,1000,19,16
attempt,classif.ranger,repeated_cv,16,0.8363752264603848,1000,9,78
attempt,classif.ranger,repeated_cv,16,0.8365549451480103,1000,10,74
attempt,classif.ranger,repeated_cv,16,0.8385800541325047,1000,14,250
attempt,classif.ranger,repeated_cv,16,0.8401819565591978,1000,18,288
attempt,classif.ranger,repeated_cv,16,0.8459485191580889,1000,17,1
attempt,classif.ranger,repeated_cv,16,0.8381746527459664,1000,20,77
attempt,classif.ranger,repeated_cv,16,0.8371793591169002,1000,10,112
attempt,classif.ranger,repeated_cv,16,0.8393586736453081,1000,19,179
attempt,classif.ranger,repeated_cv,16,0.8374862773397737,1000,8,156
attempt,classif.ranger,repeated_cv,16,0.8399814670042307,1000,11,286
attempt,classif.ranger,repeated_cv,16,0.8379396322637438,1000,8,165
attempt,classif.ranger,repeated_cv,16,0.8370846358351773,1000,12,70
attempt,classif.ranger,repeated_cv,16,0.8395248973707045,1000,16,233
