variable,value,outcome
vdem_v2x_clpol_d1,7.645053619418176e-5,attempt
vdem_v2x_gencl_sd,7.623585861783286e-5,attempt
vdem_v2x_neopat_sd,7.36480862279789e-5,attempt
vdem_v2x_civlib_d1,7.234658050250735e-5,attempt
reign_gov_party,6.778432551130152e-5,attempt
vdem_v2x_execorr_sd,6.466285051143903e-5,attempt
vdem_v2x_legabort,6.438445239258421e-5,attempt
reign_age,6.365221524368023e-5,attempt
vdem_v2x_corr_sd,6.249551781898542e-5,attempt
vdem_v2x_genpp_sd,5.9957129655506e-5,attempt
vdem_v2x_gender_d1,5.8661526243551725e-5,attempt
vdem_v2x_suffr,5.436554284252501e-5,attempt
vdem_v2x_horacc_d1,5.390666988858166e-5,attempt
vdem_v2x_genpp_d1,5.2925493096507506e-5,attempt
vdem_v2x_rule_sd,5.2680372311954565e-5,attempt
epr_inpower_groups_pop,5.215657545406759e-5,attempt
vdem_v2x_accountability_d1,5.124479118352587e-5,attempt
vdem_v2x_gencs_d1,5.1104280227359964e-5,attempt
vdem_v2x_jucon_d1,4.9799149536733475e-5,attempt
vdem_v2x_rule_d1,4.786202455213946e-5,attempt
epr_groups,4.740432210196108e-5,attempt
vdem_v2x_execorr_d1,4.681925431512768e-5,attempt
vdem_v2x_ex_hereditary_sd,4.631126970272187e-5,attempt
vdem_v2x_legabort_d1,4.576235026967438e-5,attempt
vdem_v2x_ex_hereditary_d1,4.033983930352173e-5,attempt
vdem_v2x_pubcorr_d1,3.6439662126068974e-5,attempt
vdem_v2x_veracc_d1,3.630425815289933e-5,attempt
epr_excluded_groups_pop,3.630193255432172e-5,attempt
vdem_v2x_corr_d1,3.462253389645542e-5,attempt
vdem_v2x_cspart_d1,3.4082628876236313e-5,attempt
pt_failed,3.383711661220243e-5,attempt
reign_gov_provisional,3.178905347758582e-5,attempt
reign_change_recent,3.0872787880104195e-5,attempt
vdem_v2x_ex_party_sd,2.876732484036436e-5,attempt
vdem_v2x_ex_confidence_d1,2.812017288102766e-5,attempt
vdem_v2x_partip_d1,2.793281522582072e-5,attempt
vdem_v2x_ex_party_d1,2.606988016135181e-5,attempt
reign_prev_conflict,2.5538209869064688e-5,attempt
pt_failed_num,2.52077130723613e-5,attempt
vdem_v2x_divparctrl_d1,2.4925620271197028e-5,attempt
vdem_v2x_elecoff_sd,2.4894508135823782e-5,attempt
vdem_v2x_ex_direlect,2.3480921228974342e-5,attempt
vdem_v2x_legabort_sd,2.1866002553853085e-5,attempt
vdem_v2x_divparctrl_sd,2.095865323719999e-5,attempt
vdem_v2x_egal_d1,2.078481019047925e-5,attempt
vdem_v2x_feduni_d1,1.7790862332302398e-5,attempt
reign_defeat_recent,1.7468279953649617e-5,attempt
pt_coup_num,1.6913687647060677e-5,attempt
pt_coup,1.6854566694990082e-5,attempt
vdem_v2x_elecoff,1.668417512588745e-5,attempt
vdem_v2x_hosinter_sd,1.6469373416332423e-5,attempt
vdem_v2x_feduni_sd,1.611265545846921e-5,attempt
epr_inpower_groups_count,1.4677510480431216e-5,attempt
vdem_v2x_ex_direlect_sd,1.4074111307767378e-5,attempt
vdem_v2x_elecoff_d1,1.3388676183358344e-5,attempt
wdi_infmort_imputed,1.258399060780371e-5,attempt
vdem_v2x_clpriv_d1,1.255040031233694e-5,attempt
reign_gov_personal,1.0519570322597629e-5,attempt
vdem_v2x_gender_imputed,1.0312426970765036e-5,attempt
vdem_v2x_genpp_imputed,9.428394786195542e-6,attempt
vdem_v2x_ex_direlect_d1,8.878311828629443e-6,attempt
vdem_v2x_hosinter_d1,8.380209554279136e-6,attempt
reign_leg_ant,8.140616795457352e-6,attempt
vdem_v2x_libdem_imputed,7.918429443704436e-6,attempt
reign_delayed,6.527511873730413e-6,attempt
vdem_v2x_liberal_imputed,4.8511808861633305e-6,attempt
reign_anticipation,4.304602392387771e-6,attempt
epr_excluded_groups_pop_diff,4.2428001360461005e-6,attempt
reign_militarycareer,4.207673500641672e-6,attempt
reign_exec_ant,4.202384693138562e-6,attempt
vdem_v2x_suffr_sd,3.793580071511978e-6,attempt
reign_ref_recent,3.7069948729719553e-6,attempt
epr_inpower_groups_pop_diff,2.969995938817252e-6,attempt
vdem_v2x_hosabort,2.6933040639805356e-6,attempt
vdem_v2x_elecreg_sd,2.3063951487188377e-6,attempt
vdem_v2x_elecreg_d1,2.2465622267073727e-6,attempt
reign_leg_recent,1.8507285725043524e-6,attempt
vdem_v2x_elecreg,1.2202403310365334e-6,attempt
reign_elected,1.148446170302167e-6,attempt
vdem_v2x_hosinter,3.5669895253913766e-7,attempt
reign_indirect_recent,3.238505907476404e-7,attempt
reign_direct_recent,2.0144043530170337e-7,attempt
reign_irreg_lead_ant,1.9115129373098662e-7,attempt
reign_election_recent,1.3320330478818904e-7,attempt
epr_excluded_groups_shift,1.0528343382833692e-7,attempt
epr_inpower_groups_shift,9.434734213842396e-8,attempt
reign_victory_recent,2.5554032571761386e-8,attempt
epr_regaut_group_pop,0,attempt
epr_regaut_groups_count,0,attempt
vdem_v2x_EDcomp_thick_imputed,0,attempt
vdem_v2x_accountability_imputed,0,attempt
vdem_v2x_api_imputed,0,attempt
vdem_v2x_civlib_imputed,0,attempt
vdem_v2x_clphy_imputed,0,attempt
vdem_v2x_clpol_imputed,0,attempt
vdem_v2x_clpriv_imputed,0,attempt
vdem_v2x_corr_imputed,0,attempt
vdem_v2x_cspart_imputed,0,attempt
vdem_v2x_delibdem_imputed,0,attempt
vdem_v2x_diagacc_imputed,0,attempt
vdem_v2x_egal_imputed,0,attempt
vdem_v2x_egaldem_imputed,0,attempt
vdem_v2x_elecoff_imputed,0,attempt
vdem_v2x_elecreg_imputed,0,attempt
vdem_v2x_ex_confidence_imputed,0,attempt
vdem_v2x_ex_direlect_imputed,0,attempt
vdem_v2x_ex_hereditary_imputed,0,attempt
vdem_v2x_ex_military_imputed,0,attempt
vdem_v2x_ex_party_imputed,0,attempt
vdem_v2x_execorr_imputed,0,attempt
vdem_v2x_feduni_imputed,0,attempt
vdem_v2x_frassoc_thick_imputed,0,attempt
vdem_v2x_freexp_altinf_imputed,0,attempt
vdem_v2x_freexp_imputed,0,attempt
vdem_v2x_gencl_imputed,0,attempt
vdem_v2x_gencs_imputed,0,attempt
vdem_v2x_horacc_imputed,0,attempt
vdem_v2x_hosabort_imputed,0,attempt
vdem_v2x_hosinter_imputed,0,attempt
vdem_v2x_jucon_imputed,0,attempt
vdem_v2x_legabort_imputed,0,attempt
vdem_v2x_mpi_imputed,0,attempt
vdem_v2x_neopat_imputed,0,attempt
vdem_v2x_partip_imputed,0,attempt
vdem_v2x_partipdem_imputed,0,attempt
vdem_v2x_polyarchy_imputed,0,attempt
vdem_v2x_pubcorr_imputed,0,attempt
vdem_v2x_rule_imputed,0,attempt
vdem_v2x_suffr_imputed,0,attempt
vdem_v2x_veracc_imputed,0,attempt
reign_nochange_recent,-5.7568322788151015e-8,attempt
reign_election_now,-1.4055527317330505e-7,attempt
vdem_v2x_divparctrl_imputed,-1.8410891096380347e-7,attempt
vdem_v2x_suffr_d1,-2.873600694424965e-7,attempt
reign_lead_recent,-3.550751788761371e-7,attempt
reign_exec_recent,-3.557890516532173e-7,attempt
vdem_v2x_hosabort_sd,-1.1421751878787022e-6,attempt
reign_ref_ant,-2.2394776355937927e-6,attempt
vdem_v2x_hosabort_d1,-2.707899694881449e-6,attempt
epr_excluded_groups_count_diff,-5.681519972511444e-6,attempt
epr_inpower_groups_count_diff,-1.359290474957687e-5,attempt
