variable,value,outcome
vdem_v2x_veracc_d1,2.8528874141418123e-5,failed
vdem_v2x_corr_sd,2.82864758340974e-5,failed
vdem_v2x_delibdem_d1,2.689430483813791e-5,failed
vdem_v2x_corr_d1,2.6464954156956007e-5,failed
vdem_v2x_horacc_d1,2.6254846762283012e-5,failed
vdem_v2x_divparctrl_sd,2.6221106930026918e-5,failed
vdem_v2x_pubcorr_sd,2.6116153684405366e-5,failed
pt_failed,2.54314896661341e-5,failed
vdem_v2x_elecoff_sd,2.4565160293636928e-5,failed
vdem_v2x_neopat_d1,2.4474546604018778e-5,failed
vdem_v2x_delibdem_sd,2.339439817827903e-5,failed
pt_coup_num,2.333726469769517e-5,failed
vdem_v2x_rule_d1,2.130379075418863e-5,failed
vdem_v2x_execorr_sd,2.1187902139982562e-5,failed
vdem_v2x_partip_d1,1.906305169628694e-5,failed
vdem_v2x_clpriv_d1,1.8922039675857305e-5,failed
epr_excluded_groups_count,1.8025321453986443e-5,failed
epr_inpower_groups_pop,1.6562650481391995e-5,failed
vdem_v2x_ex_party_sd,1.4724594811137199e-5,failed
vdem_v2x_egal_d1,1.3410385693062737e-5,failed
vdem_v2x_ex_direlect,1.3303699700946947e-5,failed
vdem_v2x_gender_d1,1.2133542182329419e-5,failed
epr_excluded_groups_pop,1.197005423777803e-5,failed
vdem_v2x_pubcorr_d1,1.1921032542259548e-5,failed
reign_change_recent,1.1503879290755299e-5,failed
vdem_v2x_hosinter_sd,1.1410636047614497e-5,failed
reign_defeat_recent,1.120777056660465e-5,failed
vdem_v2x_feduni_d1,1.1015749054512558e-5,failed
reign_gov_parl,1.096798871363181e-5,failed
vdem_v2x_execorr_d1,1.0892107717776624e-5,failed
reign_age,1.0714701981337917e-5,failed
vdem_v2x_divparctrl,9.713593946319461e-6,failed
reign_gov_provisional,9.666182663870356e-6,failed
epr_inpower_groups_count,9.487447263530954e-6,failed
vdem_v2x_feduni_sd,8.94593433742475e-6,failed
vdem_v2x_hosinter_d1,8.436675600751364e-6,failed
epr_groups,8.005562031704509e-6,failed
reign_male,7.174010413854391e-6,failed
vdem_v2x_suffr,6.713622021918156e-6,failed
vdem_v2x_cspart_d1,6.000650041612142e-6,failed
