Country,Year,GWcode,Coup,Failed,Attempt
Ukraine,2020,369,0.016507270619891188,0.011720822338854962,0.028034614172511005
Belarus,2020,370,0.0017751365164058919,0.002547315711395487,0.004317930394663266
Armenia,2020,371,0.012167108024092337,0.025792315353712177,0.03764560549070445
Georgia,2020,372,0.003054455491270326,9.659809426958695e-4,0.0040174858881713155
Azerbaijan,2020,373,0.007501328439991919,0.010853670400163492,0.018273581893704368
Finland,2020,375,4.914484083792764e-4,3.6460157347194223e-4,8.558707989882432e-4
Sweden,2020,380,4.1777345807031895e-4,1.2127925041182366e-4,5.390020412303059e-4
Norway,2020,385,0.003934112397850256,0.0025784800476522417,0.00650244841517942
Denmark,2020,390,5.108833575146415e-4,1.6112643267782246e-4,6.719274733795531e-4
Iceland,2020,395,0.0023922195534791728,9.59046920594428e-4,0.003348972223277451
Cape Verde,2020,402,1.1648239798879711e-4,2.770508793316469e-4,3.9350100576965454e-4
Guinea-Bissau,2020,404,0.023157403526021577,0.018424011454429724,0.041154762712633026
Equatorial Guinea,2020,411,0.022045586627935043,0.007715853556105244,0.029591339666060708
Gambia,2020,420,0.014692314503450458,0.021623430869883376,0.03599804712634989
Mali,2020,432,0.03376901280903824,0.03174532903065817,0.06444233341703298
Senegal,2020,433,0.015216214374199993,0.01185302085976597,0.0268888771275819
Benin,2020,434,0.04597384278826163,0.03813778776851345,0.08235828989761335
Mauritania,2020,435,0.03444448031694873,0.0522293006767074,0.084874769874529285
Niger,2020,436,0.05014473001942623,0.023553667548259664,0.0725173052675111
Côte d’Ivoire,2020,437,0.017105418053466107,0.015620669140805895,0.03245888911834364
Guinea,2020,438,0.02905939170402065,0.022845267472215748,0.05124078960017816
Burkina Faso,2020,439,0.09212192784824712,0.1587427755483467,0.23624101288109856
Liberia,2020,450,0.011638115663401106,0.00961730556115722,0.02114349391006731
Sierra Leone,2020,451,0.014918579438678527,0.015173788352998506,0.02986599642474713
Ghana,2020,452,0.00392729447998009,0.00998673940994646,0.013874813023368867
Togo,2020,461,0.028345751908837136,0.023074996551799357,0.05076667033308191
Cameroon,2020,471,0.03139631416493912,0.03947793508927654,0.06963478760156966
Nigeria,2020,475,0.026273588162376467,0.031111918093124462,0.05656808453258059
Gabon,2020,481,0.048419163911729866,0.0955302168971887,0.13932388757845046
Central African Republic,2020,482,0.026341934070942617,0.021103480476894074,0.04688950805644692
Chad,2020,483,0.03342593779606691,0.04381446543339595,0.07577586363331823
Congo - Brazzaville,2020,484,0.030299462081314774,0.02897068067537406,0.05839234671609546
Congo - Kinshasa,2020,490,0.034370916844368916,0.04398432576338278,0.07684346100448283
Uganda,2020,500,0.014788663821681078,0.017407462403221784,0.03193869311543306
Kenya,2020,501,0.005373832341402432,0.011735632880681569,0.017046399898562967
Tanzania,2020,510,0.01641565457639221,0.018527467792984375,0.03463898185791172
Burundi,2020,516,0.02503980616669687,0.023173529549643475,0.04763307502821905
Rwanda,2020,517,0.008984846060563474,0.008141819338013622,0.01705351240517212
Somalia,2020,520,0.020885291035314703,0.021608716132060644,0.042042702842057765
Djibouti,2020,522,0.010978828083391364,0.00919872946116279,0.02007656627521442
Ethiopia,2020,530,0.021481173916059245,0.018415722045005637,0.03950130463302631
Eritrea,2020,531,0.014087126784968188,0.01671969814286234,0.030571292420285633
Angola,2020,540,0.013249902996423576,0.013405358937739746,0.026477642228606033
Mozambique,2020,541,0.004626658304216406,0.00499588026070884,0.009599424334030167
Zambia,2020,551,0.012817154858740078,0.02099442662175569,0.03354249266331427
